label,raw_map50_95,map50,map50_95,validation_inference_ms,finetune_seconds,peak_allocated_mb,best_weights,parameters,gmacs,round_medians_ms,latency_median_ms,latency_p90_ms,sample_count,batch,imgsz,precision,fused,scope,parameter_reduction,compute_reduction,model_mb
unpruned_control,0.6232067576989172,0.7760911174721754,0.6232067576989172,3.029830762758278,65.86005999986082,1315.881472,C:\Users\22565\OneDrive\Desktop\YOLO\runs\prune\experiment05_greedy\20260908_161152\finetune\unpruned_control\weights\best.pt,2624080,3.2758272,"[11.12886381149292, 10.008031845092773, 9.621488094329834, 9.797919750213623, 10.064864158630371]",10.008031845092773,13.903644561767578,250,1,640,float32,True,network_forward_excluding_preprocess_and_nms,0.0,0.0,5.539482
independent_strong,0.5033008286168248,0.688148830453167,0.5182849962541948,3.1134192294512806,35.46699370001443,1294.502912,C:\Users\22565\OneDrive\Desktop\YOLO\runs\prune\experiment05_greedy\20260908_161152\finetune\independent_strong\weights\best.pt,2514744,3.1426112,"[10.681104183197021, 10.603439807891846, 10.589279651641846, 10.258543968200684, 10.807727813720703]",10.596015930175781,13.581803321838379,250,1,640,float32,True,network_forward_excluding_preprocess_and_nms,0.04166641260937165,0.04066636970350568,5.321434
greedy,0.5962410378297743,0.7156305546062125,0.5962410378297743,2.7885000006510663,30.604900900041685,1291.305984,C:\Users\22565\OneDrive\Desktop\YOLO\runs\prune\experiment05_greedy\20260908_161152\finetune\greedy\weights\best.pt,2579720,3.1266304,"[9.678704261779785, 10.008543968200684, 11.142767906188965, 9.917776107788086, 9.750783920288086]",9.942527770996094,14.659071922302246,250,1,640,float32,True,network_forward_excluding_preprocess_and_nms,0.016904972409377717,0.04554477110392163,5.451162
