epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8282,1.30237,1.866,1.30029,0.70117,0.66551,0.77834,0.62597,0.86268,0.86076,1.08446,5.49231e-05,5.49231e-05,5.49231e-05
2,32.6988,1.20955,1.4721,1.22972,0.7,0.65619,0.78909,0.6226,0.8623,0.88086,1.08403,7.66635e-05,7.66635e-05,7.66635e-05
3,35.3541,1.22322,1.47124,1.25507,0.62871,0.69534,0.7778,0.6058,0.85631,0.89401,1.08042,4.046e-05,4.046e-05,4.046e-05
