epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.75453,0.99594,2.64107,1.3205,0.56005,0.85,0.8771,0.63257,1.67551,1.06803,1.37644,0,0,0
2,7.08753,1.04111,3.25286,1.38353,0.56005,0.85,0.8771,0.63365,1.67551,1.06803,1.37644,3.9865e-05,3.9865e-05,3.9865e-05
3,7.3843,1.39351,2.72965,1.78796,0.56005,0.85,0.8771,0.63365,1.67551,1.06803,1.37644,4.046e-05,4.046e-05,4.046e-05
