layer_index,total_layers,layer,in_channels,out_channels,kernel_size,ratio,masked_filters,baseline_mAP50,trial_mAP50,mAP50_drop,baseline_mAP50_95,trial_mAP50_95,mAP50_95_drop
1,87,model.0.conv,3,32,3x3,0.1,3,0.6098954756338529,0.5970268498537805,0.012868625780072418,0.44500594855532555,0.4349203980188092,0.01008555053651633
2,87,model.1.conv,32,64,3x3,0.1,6,0.6098954756338529,0.6004440737381063,0.00945140189574667,0.44500594855532555,0.43697181431133997,0.00803413424398558
3,87,model.2.cv1.conv,64,64,1x1,0.1,6,0.6098954756338529,0.5911262971937177,0.01876917844013526,0.44500594855532555,0.4286337403076152,0.01637220824771035
4,87,model.2.cv2.conv,96,128,1x1,0.1,13,0.6098954756338529,0.4907234395804883,0.11917203605336463,0.44500594855532555,0.3513412266731304,0.09366472188219516
5,87,model.2.m.0.cv1.conv,32,16,3x3,0.1,2,0.6098954756338529,0.5775758542299994,0.03231962140385358,0.44500594855532555,0.41906495233023805,0.025940996225087498
6,87,model.2.m.0.cv2.conv,16,32,3x3,0.1,3,0.6098954756338529,0.6018358969640284,0.00805957866982454,0.44500594855532555,0.4386726622778866,0.006333286277438954
7,87,model.3.conv,128,128,3x3,0.1,13,0.6098954756338529,0.5730312841038006,0.03686419153005238,0.44500594855532555,0.4135401443358797,0.031465804219445836
8,87,model.4.cv1.conv,128,128,1x1,0.1,13,0.6098954756338529,0.5574199110054499,0.05247556462840308,0.44500594855532555,0.4055690802925052,0.039436868262820335
9,87,model.4.cv2.conv,192,256,1x1,0.1,26,0.6098954756338529,0.4939380464604347,0.11595742917341822,0.44500594855532555,0.35556839456269557,0.08943755399262998
10,87,model.4.m.0.cv1.conv,64,32,3x3,0.1,3,0.6098954756338529,0.6030727071201544,0.006822768513698563,0.44500594855532555,0.4385738782756912,0.006432070279634328
11,87,model.4.m.0.cv2.conv,32,64,3x3,0.1,6,0.6098954756338529,0.6061663866758421,0.003729088958010829,0.44500594855532555,0.4425198217240538,0.002486126831271751
12,87,model.5.conv,256,256,3x3,0.1,26,0.6098954756338529,0.6065834333572274,0.0033120422766255153,0.44500594855532555,0.4425552289841132,0.0024507195712123453
13,87,model.6.cv1.conv,256,256,1x1,0.1,26,0.6098954756338529,0.6015016963383171,0.008393779295535864,0.44500594855532555,0.43822287643445995,0.006783072120865596
14,87,model.6.cv2.conv,384,256,1x1,0.1,26,0.6098954756338529,0.5968440558644392,0.013051419769413708,0.44500594855532555,0.4335969986961038,0.01140894985922175
15,87,model.6.m.0.cv1.conv,128,64,1x1,0.1,6,0.6098954756338529,0.6086769160137167,0.0012185596201362836,0.44500594855532555,0.44355674095814196,0.0014492075971835883
16,87,model.6.m.0.cv2.conv,128,64,1x1,0.1,6,0.6098954756338529,0.6095271184732634,0.000368357160589583,0.44500594855532555,0.4446765378057049,0.0003294107496206733
17,87,model.6.m.0.cv3.conv,128,128,1x1,0.1,13,0.6098954756338529,0.5950512243647873,0.014844251269065634,0.44500594855532555,0.43289969879263823,0.012106249762687316
18,87,model.6.m.0.m.0.cv1.conv,64,64,3x3,0.1,6,0.6098954756338529,0.608878980197168,0.0010164954366849166,0.44500594855532555,0.4435066731736758,0.001499275381649734
19,87,model.6.m.0.m.0.cv2.conv,64,64,3x3,0.1,6,0.6098954756338529,0.6084573884150627,0.0014380872187902405,0.44500594855532555,0.4438943383224665,0.0011116102328590505
20,87,model.6.m.0.m.1.cv1.conv,64,64,3x3,0.1,6,0.6098954756338529,0.6087456380067457,0.0011498376271071864,0.44500594855532555,0.44374175644013114,0.0012641921151944069
21,87,model.6.m.0.m.1.cv2.conv,64,64,3x3,0.1,6,0.6098954756338529,0.6083483240204209,0.0015471516134319963,0.44500594855532555,0.4434317037564098,0.0015742447989157693
22,87,model.7.conv,256,512,3x3,0.1,51,0.6098954756338529,0.6063104896193036,0.003584986014549374,0.44500594855532555,0.44049225602153513,0.004513692533790414
23,87,model.8.cv1.conv,512,512,1x1,0.1,51,0.6098954756338529,0.6071472853252889,0.0027481903085639914,0.44500594855532555,0.44139281594853363,0.0036131326067919134
24,87,model.8.cv2.conv,768,512,1x1,0.1,51,0.6098954756338529,0.6053355543728882,0.004559921260964717,0.44500594855532555,0.4401102407471171,0.0048957078082084715
25,87,model.8.m.0.cv1.conv,256,128,1x1,0.1,13,0.6098954756338529,0.6085168875884677,0.001378588045385265,0.44500594855532555,0.44282290187574164,0.002183046679583911
26,87,model.8.m.0.cv2.conv,256,128,1x1,0.1,13,0.6098954756338529,0.6097518749344655,0.00014360069938745834,0.44500594855532555,0.4448792325055655,0.00012671604976005613
27,87,model.8.m.0.cv3.conv,256,256,1x1,0.1,26,0.6098954756338529,0.608648330639866,0.0012471449939869261,0.44500594855532555,0.44445398774642497,0.0005519608089005756
28,87,model.8.m.0.m.0.cv1.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6095359032802087,0.0003595723536442552,0.44500594855532555,0.4449099258833996,9.602267192593272e-05
29,87,model.8.m.0.m.0.cv2.conv,128,128,3x3,0.1,13,0.6098954756338529,0.60947526628808,0.000420209345772915,0.44500594855532555,0.4441749236613644,0.0008310248939611409
30,87,model.8.m.0.m.1.cv1.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6084306076580607,0.0014648679757922611,0.44500594855532555,0.44341674007190746,0.001589208483418092
31,87,model.8.m.0.m.1.cv2.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6094412983916061,0.00045417724224683376,0.44500594855532555,0.4442747187656565,0.0007312297896690523
32,87,model.9.cv1.conv,512,256,1x1,0.1,26,0.6098954756338529,0.5937968313079122,0.01609864432594077,0.44500594855532555,0.428849393252036,0.01615655530328952
33,87,model.9.cv2.conv,1024,512,1x1,0.1,51,0.6098954756338529,0.49508697007579433,0.1148085055580586,0.44500594855532555,0.35222744379775395,0.0927785047575716
34,87,model.10.cv1.conv,512,512,1x1,0.1,51,0.6098954756338529,0.6074550607453245,0.0024404148885284194,0.44500594855532555,0.44006854538575063,0.0049374031695749165
35,87,model.10.cv2.conv,512,512,1x1,0.1,51,0.6098954756338529,0.6060433814538886,0.0038520941799643493,0.44500594855532555,0.43960956375307375,0.005396384802251797
36,87,model.10.m.0.attn.qkv.conv,256,512,1x1,0.1,51,0.6098954756338529,0.6097372273716303,0.00015824826222265997,0.44500594855532555,0.4440396068101303,0.0009663417451952205
37,87,model.10.m.0.attn.proj.conv,256,256,1x1,0.1,26,0.6098954756338529,0.6095240066898702,0.00037146894398276675,0.44500594855532555,0.44437218483387453,0.0006337637214510194
38,87,model.10.m.0.attn.pe.conv,256,256,3x3,0.1,26,0.6098954756338529,0.6065119023039205,0.0033835733299324433,0.44500594855532555,0.44269991769914924,0.002306030856176311
39,87,model.10.m.0.ffn.0.conv,256,512,1x1,0.1,51,0.6098954756338529,0.6094918847991109,0.0004035908347420625,0.44500594855532555,0.4446572565757619,0.0003486919795636645
40,87,model.10.m.0.ffn.1.conv,512,256,1x1,0.1,26,0.6098954756338529,0.6095673911105611,0.00032808452329180504,0.44500594855532555,0.4449841627348817,2.178582044382038e-05
41,87,model.13.cv1.conv,768,256,1x1,0.1,26,0.6098954756338529,0.6012559866089491,0.008639489024903857,0.44500594855532555,0.4345789809071917,0.010426967648133834
