profile,epochs,parameters,parameter_reduction,gmac_reduction,raw_mAP50_95,finetuned_mAP50,finetuned_mAP50_95,mAP50_95_drop_vs_baseline,recovery_vs_raw,inference_ms_per_image,elapsed_seconds,peak_gpu_memory_mb,best_weights
light,10,2577392,0.017792140483521846,0.015283834263296936,0.5317509493148185,0.7544655532843196,0.5951649854366322,0.028041772262284992,0.06341403612181373,12.660738456851014,78.37197780003771,1298.864128,C:\Users\22565\OneDrive\Desktop\YOLO\runs\prune\experiment04_independent\finetune\light\weights\best.pt
balanced,10,2565184,0.02244443766958326,0.016774511183007434,0.5231429429653442,0.7404868499813657,0.5614931494082696,0.06171360829064765,0.038350206442925305,3.0391230695666027,34.23511469992809,1363.411456,C:\Users\22565\OneDrive\Desktop\YOLO\runs\prune\experiment04_independent\finetune\balanced\weights\best.pt
strong,10,2514744,0.04166641260937165,0.04066636970350568,0.5033008286168248,0.7364294320169525,0.5720409443930461,0.05116581330587111,0.0687401157762213,3.342273080936418,44.44169089989737,1352.950784,C:\Users\22565\OneDrive\Desktop\YOLO\runs\prune\experiment04_independent\finetune\strong\weights\best.pt
